Instancia,Valor Otimo,Solucao Construcao,Tempo Construcao,GAP Construcao,Solucao RVND,Tempo RVND,GAP RVND,Media Solucao ILS,Melhor Solucao ILS,Tempo Medio ILS,Tempo Melhor ILS,GAP Medio ILS,GAP Melhor ILS
n9k5_A.txt,428,504,2.1793e-05,17%,476,0.00061237,11%,456,456,0.0102177,0.0136087,6%,6%
n9k5_B.txt,506,660,4.187e-06,30%,632,0.000115181,24%,534,534,0.00885091,0.00820055,5%,5%
n9k5_C.txt,559,652,4.205e-06,16%,632,7.0331e-05,13%,632,632,0.00925707,0.0095895,13%,13%
n9k5_D.txt,408,408,4.097e-06,0%,408,3.5246e-05,0%,408,408,0.00509348,0.00510852,0%,0%
n14k5_A.txt,471,570,7.906e-06,21%,544,0.000279762,15%,496,496,0.0177323,0.0197254,5%,5%
n14k5_B.txt,565,758,5.335e-06,34%,732,0.000194013,29%,590,590,0.0197289,0.018028,4%,4%
n14k5_C.txt,569,737,5.517e-06,29%,732,0.000144154,28%,732,732,0.0220792,0.0225231,28%,28%
n14k5_D.txt,471,577,5.39e-06,22%,544,0.00023425,15%,471,471,0.0312048,0.0317247,0%,0%
n22k3_A.txt,605,754,7.36e-06,24%,682,0.000813592,12%,670,670,0.084234,0.0860079,10%,10%
n22k3_B.txt,777,1098,8.158e-06,41%,1026,0.000790783,32%,1014,1014,0.109815,0.110279,30%,30%
n22k3_C.txt,777,1097,7.62e-06,41%,1026,0.000554153,32%,1014,1014,0.0994615,0.101944,30%,30%
n22k3_D.txt,605,762,7.435e-06,25%,682,0.000932902,12%,670,670,0.104348,0.106689,10%,10%
n31k5_A.txt,650,1422,1.6516e-05,118%,1379,0.000674463,112%,1142,1140,0.233651,0.206282,75.4%,75%
n31k5_B.txt,933,1976,8.3998e-05,111%,1933,0.00294202,107%,1694,1694,0.243226,0.306783,81%,81%
n31k5_C.txt,939,2384,1.4087e-05,153%,2289,0.000742738,143%,2016,1976,0.388595,0.438863,114.4%,110%
n31k5_D.txt,656,1437,1.3467e-05,119%,1379,0.000506889,110%,1150,1140,0.219699,0.221015,74.6%,73%
n43k6_A.txt,801,2203,2.3234e-05,175%,1962,0.00219083,144%,1884,1879,0.791043,0.830005,134.6%,134%
n43k6_B.txt,1203,4213,2.4209e-05,250%,3972,0.0024011,230%,3898,3890,0.810539,0.75274,223.6%,223%
n43k6_C.txt,1208,4242,2.5942e-05,251%,3987,0.00325972,230%,3894,3888,0.862358,0.713583,222.1%,221%
n43k6_D.txt,802,2091,2.2971e-05,160%,1948,0.00308308,142%,1882,1877,0.858128,0.942273,134.2%,134%
n64k9_A.txt,934,3727,4.329e-05,299%,3363,0.0142123,260%,3143,3121,2.3384,2.23393,236.2%,234%
n64k9_B.txt,1503,7654,0.000101582,409%,7290,0.0289635,385%,7058,7031,2.41995,2.63376,369%,367%
n64k9_C.txt,1510,7732,4.351e-05,412%,6735,0.00626321,346%,6255,6232,2.40502,2.20662,313.7%,312%
n64k9_D.txt,932,4035,4.5805e-05,332%,3681,0.0131663,294%,3387,3149,2.59425,3.04064,263%,237%
n120k7_A.txt,1029,4866,0.000143591,372%,4518,0.0327819,339%,3675,3624,10.7077,10.2572,256.8%,252%
n120k7_B.txt,2052,8878,0.000119279,332%,8568,0.0378788,317%,7701,7625,11.2067,15.0439,274.8%,271%
n120k7_C.txt,2040,10915,0.000123402,435%,10614,0.0567149,420%,10220,10179,16.9744,18.8857,400.4%,398%
n120k7_D.txt,1046,4615,0.000218531,341%,4540,0.0206211,334%,3718,3651,10.2002,10.9472,255%,249%
n199k17_A.txt,1672,14204,0.000728357,749%,13903,0.387767,731%,13705,13672,70.0015,67.8247,719.2%,717%
n199k17_B.txt,3302,38639,0.000749831,1070%,38331,0.424514,1060%,38146,38131,64.6403,66.0342,1054.8%,1054%
n199k17_C.txt,3301,41063,0.000688445,1143%,40767,0.424187,1134%,40593,40577,96.1561,70.8086,1129.1%,1129%
n199k17_D.txt,1672,14162,0.00100731,747%,13951,0.323372,734%,13756,13743,62.5191,78.9173,722.1%,721%
